Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Puerto Rico,PRI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5831.71964179451,6133.84304422462,6507.17317642602,6917.08642111839,7261.86732918152,7808.22556865799,8294.66529300006,8741.99378024727,9138.25538725069,9912.74642322062,10611.3897689072,11106.2832848328,11670.3451512566,12145.5526591937,12242.5422567079,11940.1968812474,12477.8612147057,13028.4695972284,13750.2693212403,14656.3853032726,15097.6527443785,15098.8223015133,14705.5057439825,14215.0075531508,14908.9486725518,15221.4068921375,15826.466420022,16582.4229576136,17396.8708416766,17986.6162754147,17320.804241436,17595.0320318591,18279.7104206616,18968.2954601663,19579.5828053638,20282.0324313574,20519.7992426258,21322.110834987,22372.4138939573,23460.4553762309,24161.1608814414,25631.6210089665,25833.1942972616,25830.821791355,28084.9294324536,27566.5886153971,27293.3468972834,27134.5480291002,26790.8293670124,26411.4147270047,26435.7401871545,26647.3776012974,26979.6622433289,27206.8739018448,27325.6519141063,27501.60767535,27308.9938782031,..
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,2358000,2399722,2450322,2504530,2554066,2594000,2624995,2645674,2662064,2684150,2718000,2762190,2817256,2878786,2939299,2994000,3043854,3088690,3129421,3168088,3206000,3242552,3277453,3311138,3344190,3377000,3409554,3441850,3473898,3505650,3537000,3562110,3585176,3615497,3649237,3683103,3724655,3759430,3781101,3800081,3810605,3818774,3823701,3826095,3826878,3821362,3805214,3782995,3760866,3740410,3721525,3678732,3634488,3593077,3534874,3473177,3406520,3337177
Qatar,QAT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60858.1912230348,60707.1198813964,62167.557648297,60460.4202003675,65405.7177707633,61688.8119300477,66623.136105089,66761.6227443087,67262.4517149952,65769.0071794388,70306.2278449301,72670.9586637702,70396.8161178956,68899.4853105472,67901.2188129755,67277.24312946,66410.7564675877,65696.3871315716
Qatar,QAT,"Population, total",SP.POP.TOTL,47384,51421,56263,61717,67567,73633,79844,86295,93201,100874,109514,119424,130534,142241,153704,164413,173836,182443,192093,205313,223775,248144,277396,309479,341455,371081,397932,422341,443794,461870,476445,487491,495517,501566,507095,513455,522304,534608,550430,569447,592267,616886,645659,688586,758855,864863,1010382,1189633,1389342,1590780,1779676,1952054,2109568,2250473,2374419,2481539,2569804,2639211
Romania,ROU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5356.37243140753,4705.12103036582,4331.57020167018,4403.78261459371,4583.59557191729,4920.72787703021,5125.89835275819,4893.09441700005,4800.89005913164,4789.12516893729,4910.18087245182,5257.61512467698,5632.35085978001,5986.52074578737,6523.97656775663,6838.24946883513,7433.01195059568,8061.40553238455,8873.91518096511,8419.28357376302,8231.31277057833,8439.80074768731,8582.42302492229,8918.57501928123,9227.43745499623,9639.38725500793,10162.1073425047,10932.3271455023
Romania,ROU,"Population, total",SP.POP.TOTL,18406905,18555250,18676550,18797850,18919126,19031576,19215450,19534242,19799831,20009141,20250398,20461567,20657957,20835681,21029429,21293583,21551634,21756096,21951464,22090488,22242653,22415169,22515389,22588790,22655940,22755427,22859269,22949430,23057662,23161458,23201835,23001155,22794284,22763280,22730211,22684270,22619004,22553978,22507344,22472040,22442971,22131970,21730496,21574326,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19815481,19702332,19586539
Russian Federation,RUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9867.37090949587,9534.49562145996,9033.07192326919,7717.09454344013,7056.15511958363,6176.86609952928,5919.34063407522,5714.55123720316,5804.14240311293,5505.62779004877,5876.14516013283,6491.00135927102,6850.51712899489,7208.57072219707,7769.67022522781,8360.81191962973,8927.90565842376,9687.49351320027,10532.3262706179,11089.9299546553,10219.5213064054,10674.987707365,11230.3891529493,11621.3856814148,11803.7089563761,11680.593544877,11325.7876875728,11279.6253410461,11441.0034569958
Russian Federation,RUS,"Population, total",SP.POP.TOTL,119897000,121236000,122591000,123960000,125345000,126745000,127468000,128196000,128928000,129664000,130404000,131155000,131909000,132669000,133432000,134200000,135147000,136100000,137060000,138027000,139010000,139941000,140823000,141668000,142745000,143858000,144894000,145908000,146857000,147721000,148292000,148624000,148689000,148520000,148336000,148375726,148160042,147915307,147670692,147214392,146596557,145976083,145306046,144648257,144067054,143518523,143049528,142805088,142742350,142785342,142849449,142960868,143201676,143506911,143819666,144096870,144342396,144495044
Rwanda,RWA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,331.578006681623,310.690940192321,339.723433590129,301.190711398093,258.74814649104,270.786381147636,282.244584994894,293.00433053666,303.870289594505,326.81802817552,335.917593136647,329.969887884551,321.257278650906,322.693670053253,317.605867996291,301.457043239048,349.012422321877,344.62831414504,363.940216020364,393.670988565027,414.50666357522,422.706560223531,416.696845489112,427.27204894565,394.663369635409,396.002397672858,398.927803116015,379.609978389494,379.870179663177,369.951404261602,360.088645913135,360.196061765804,401.259886315116,392.247940135663,204.731667459484,280.443272664144,306.514140035293,327.178507427396,329.049186867712,319.157040060837,327.236038941254,342.056776498741,377.801246627099,379.710112336393,401.600793349623,430.796705062065,459.565954561249,482.037013559094,521.445417840325,539.074308376266,563.401345326449,592.98942829937,627.968476614943,640.813758392639,672.639641782578,714.393932013572,738.830185687619,765.224557813422
Rwanda,RWA,"Population, total",SP.POP.TOTL,2933428,2996096,3050604,3102972,3161724,3232934,3319082,3418317,3527263,3640591,3754541,3868337,3983700,4102321,4226799,4359092,4499509,4647615,4803725,4968074,5140716,5315032,5489322,5673614,5881906,6120107,6407672,6732131,7030179,7216028,7235798,7051759,6701851,6299909,6005095,5928078,6115168,6522382,7059813,7593239,8025703,8329406,8536205,8680346,8818438,8991735,9206580,9447402,9708169,9977446,10246842,10516071,10788853,11065151,11345357,11629553,11917508,12208407
